animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,class_type
stingray,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,4
swan,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,2
termite,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6
toad,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5
tortoise,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,3
tuatara,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,3
tuna,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4
vampire,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1
vole,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1
vulture,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,2
wallaby,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,1
wasp,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,6
wolf,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
worm,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7
wren,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
adder,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,1,3
alligator,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,1,3
boa,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1,3
chameleon,0,0,1,0,0,0,0,1,1,1,0,0,4,1,1,0,3
crocodile,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,1,3
gecko,0,0,1,0,0,0,0,1,1,1,0,0,4,1,1,0,3
gharial,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,1,3
iguana,0,0,1,0,0,0,1,1,1,1,0,0,4,1,1,1,3
lizard,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,3
python,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,1,3
skink,0,0,1,0,0,0,0,1,1,1,0,0,4,1,0,0,3
turtle,0,0,1,0,0,1,0,0,1,1,0,0,4,1,1,1,3
anchovy,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,4
barracuda,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4
flounder,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,4
halibut,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,4
mackerel,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,4
marlin,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,4
trout,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,4
dart frog,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5
firebelly,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5
salamander,0,0,1,0,0,1,0,1,1,1,0,0,4,1,1,0,5
siren,0,0,1,0,0,1,0,1,1,1,0,0,2,1,0,0,5
tree frog,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5
wart toad,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5
antlion,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
aphid,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6
beetle,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6
butterfly,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
cicada,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
cockroach,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6
cricket,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6
dragonfly,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
hornet,0,0,1,0,1,0,1,0,0,1,1,0,6,0,0,0,6
mantis,0,0,1,0,0,0,1,0,0,1,0,0,6,0,0,0,6
mosquito,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
palmetto,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,6
jellyfish,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,7
scallop,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7
silkworm,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7
snail,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7
spider,0,0,1,0,0,0,1,1,0,1,1,0,8,0,0,0,7
squid,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,7
tapir,1,0,0,1,0,0,0,1,1,1,0,0,4,0,0,0,1
giant otter,1,0,0,1,0,1,1,1,1,1,0,1,4,1,0,0,1
pink dolphin,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,0,1
howler monkey,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1
bush dog,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
chimapanzee,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,0,1
margay,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
ocelot,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
maned wolf,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
spider monkey,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
woolly monkey,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1
golden lion tamarin,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
muriqui,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1
jaguar,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
orangutan,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,1
manatee,1,0,0,1,0,1,0,1,1,1,0,1,2,1,0,0,1
white lipped peccary,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
giant anteater,1,0,0,1,0,0,0,0,1,1,0,0,4,1,0,0,1
spectacled bear,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,0,1
grey headed kite,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2
bananaquit toucanet,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
myacinth macaw,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,2
blue and yellow macaw,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,2
blue bellied parrot,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,1,2
rhea,0,1,1,0,0,0,0,0,1,1,0,0,2,0,0,0,2
crane hawk,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,2
scarlet ibis,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,2
harpy eagle,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2
grea horned owl,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,2
black fronted piping guan,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,2
golden capped parakeet,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
solitary tinamou,0,1,1,0,0,0,0,0,1,1,0,0,2,0,0,1,2
tawny bellied screech owl,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,2
curassow,0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,2
red tailed amazon,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,1,2
crested duck,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,2
razor billed curassow,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,2
channel billed toucan,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,2
king vulture,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2
vine snake,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,3
tortoise,0,0,1,0,0,1,0,0,1,1,0,0,4,0,1,1,3
dwarf caiman,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,3
golden lancehead,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,3
boa constrictor,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,3
anaconda,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,3
yellow spotted river turtle,0,0,1,0,0,1,0,0,1,1,0,0,4,0,1,0,3
lancehead pit viper,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,3
pufferfish,0,0,1,0,0,1,0,1,1,0,1,1,0,1,0,0,4
cave catfish,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,4
tetra,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,4
brycon fish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
arapaima,0,0,1,0,0,1,1,1,1,1,0,1,0,1,0,0,4
leopard ray,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,4
tambaqui fish,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4
thresher shark,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
alcatrazes tree frog,0,0,1,0,0,1,0,0,1,1,0,0,4,0,0,0,5
blue poision dart frog,0,0,1,0,0,1,0,0,1,1,1,0,4,0,0,0,5
pepper frog,0,0,1,0,0,1,0,0,1,1,0,0,4,0,0,0,5
fire bellied toad,0,0,1,0,0,1,0,0,1,1,0,0,4,0,1,0,5
cane toad,0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,5
horned frog,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,1,5
bee,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,6
ladybug,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
moth,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
firefly,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
wasp,0,0,1,0,1,0,1,0,0,1,1,0,6,0,0,0,6
stick insect,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,7
atlantic forest snail,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7
taratula,1,0,1,0,0,0,1,0,0,1,1,0,8,0,0,0,7
lemon ant,1,0,1,0,0,0,1,0,0,1,1,0,6,0,0,0,7
